Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Aaron Judge,NYY,401,1744,133,292,292,25,0.151376146,0.258600917,0.318431912,0.325028312,0.288858321,0.398275862,0.607290233,0.418905141,,176.3640635,2.65368555,157.6587684,-7.809529901,21.33637899
Freddie Freeman,- - -,465,2071,78,359,276,40,0.114920328,0.154997585,0.207915274,0.352022711,0.319955406,0.404152583,0.52787068,0.394587646,,152.4394409,12.99806221,145.3398136,-26.47141027,19.20499416
Mookie Betts,LAD,403,1828,97,331,243,35,0.114879649,0.160284463,0.260621433,0.288925895,0.281547241,0.372538293,0.542168674,0.388457458,,149.6196888,6.268708135,117.1093037,3.765300274,18.55404368
José Ramírez,CLE,453,1958,89,284,307,72,0.105720122,0.120020429,0.237623762,0.271054493,0.274898078,0.353932584,0.51252184,0.360698672,,135.0140259,19.03861209,99.85347905,9.912927516,17.81241369
Trea Turner,- - -,453,2002,75,304,252,86,0.063436563,0.193306693,0.19145484,0.341201716,0.298539751,0.346,0.489994591,0.357456748,,127.1040553,17.68021526,84.32123093,14.69610757,16.97465378
Francisco Lindor,NYM,433,1864,72,270,257,52,0.095493562,0.193669527,0.189255189,0.279279279,0.252136752,0.332077502,0.441391941,0.334187769,,115.9356239,11.86638877,47.33647263,49.68919039,16.30608551
Jose Altuve,HOU,365,1636,76,292,186,36,0.105134474,0.145476772,0.22407794,0.305039787,0.292971468,0.373700305,0.517049408,0.381243594,,148.5953377,1.734270207,94.76108964,6.00131999,15.84441445
Marcus Semien,- - -,472,2144,95,328,274,54,0.086753731,0.169776119,0.214730291,0.277067921,0.262966804,0.328511432,0.477697095,0.344759994,,119.0606105,12.79278709,62.14256512,22.38794017,15.80087358
Juan Soto,- - -,454,1975,88,291,255,25,0.203544303,0.157974683,0.223438506,0.288907996,0.273019961,0.422706538,0.496458467,0.394136497,,153.1721029,-9.483928902,119.7704977,-30.82283044,15.75270499
Paul Goldschmidt,STL,453,1979,91,293,292,30,0.114704396,0.216776149,0.221449275,0.34264585,0.294492753,0.378036437,0.515942028,0.382475229,,145.9961863,7.405719219,117.2218116,-30.55154061,15.68774447
Shohei Ohtani,LAA,450,1904,124,295,290,57,0.136029411,0.258928571,0.307407408,0.321463897,0.277160493,0.379146919,0.584567901,0.397411753,,156.3868437,6.266156838,133.9163541,-44.45925022,15.46846644
Manny Machado,SDP,434,1853,88,265,292,24,0.09390178,0.182406907,0.216918429,0.296474358,0.27673716,0.343766864,0.493655589,0.354540084,,130.3212645,-1.963463267,65.52331822,19.46708491,15.11670442
Austin Riley,ATL,466,2012,107,287,290,5,0.08001988,0.243538767,0.239821529,0.331142152,0.284439486,0.351888667,0.524261015,0.37199902,,134.9276529,-4.400633791,81.21199524,-1.446073294,15.03607894
Yordan Alvarez,HOU,381,1604,98,257,294,2,0.119077306,0.208229426,0.281659388,0.319037656,0.293304221,0.385910224,0.574963609,0.403862007,,164.288599,-1.591979392,119.2017095,-27.22215515,14.86565181
Dansby Swanson,- - -,458,1938,72,250,258,34,0.083591331,0.253869969,0.181039407,0.3175,0.258709308,0.323180175,0.439748715,0.329149248,,107.2210727,10.431384,26.88457374,50.84754968,14.61822346
Matt Olson,- - -,467,2040,125,304,343,5,0.126960784,0.215686274,0.278510029,0.277731442,0.262464183,0.359803921,0.540974212,0.377751791,,142.2681732,-0.164896767,105.162862,-33.21480759,14.26977683
Corey Seager,- - -,352,1553,80,228,232,6,0.09787508,0.160334835,0.24399126,0.299621928,0.289147851,0.362524146,0.533139111,0.377751147,,142.8228233,-4.507817928,76.02757298,12.11412024,14.13606119
Kyle Tucker,HOU,435,1798,87,241,304,67,0.103448275,0.149054505,0.234177215,0.283642224,0.277848101,0.352546166,0.512025316,0.365780648,,137.4029527,12.62996101,92.6796399,-14.31490177,14.06680052
Xander Bogaerts,- - -,437,1844,56,246,203,29,0.093275488,0.180585683,0.165238678,0.334389857,0.292533659,0.363882863,0.457772337,0.355612013,,125.9854994,4.486497685,61.2467326,14.941019,14.04831461
Nolan Arenado,STL,446,1874,90,225,300,10,0.076307363,0.142475987,0.225882353,0.274063188,0.272352941,0.330309498,0.498235294,0.350017632,,124.3262616,-5.423125262,48.93944624,24.58598688,14.02798222
Ronald Acuña Jr.,ATL,348,1578,76,278,200,112,0.114068441,0.183143219,0.22850845,0.330685203,0.300514327,0.38973384,0.529022777,0.39170558,,147.9179746,13.46992205,107.3231699,-21.72606993,13.982908
Bo Bichette,TOR,441,1932,71,269,260,41,0.053830227,0.204451345,0.17780232,0.344674556,0.296521258,0.336956521,0.474323578,0.348850747,,124.3709921,2.319177582,57.66243962,2.852649689,12.71275781
Sean Murphy,- - -,368,1471,55,176,192,1,0.095173351,0.222977566,0.195618154,0.28318584,0.243348982,0.336054421,0.438967136,0.337318123,,119.0588541,-7.5972994,25.67115299,50.32721949,12.70898281
Will Smith,LAD,384,1592,67,215,234,7,0.110552763,0.176507537,0.206208426,0.277939747,0.260901699,0.356783919,0.467110125,0.353845937,,126.3565527,-3.25426302,48.02970031,21.34765846,12.50108178
Rafael Devers,BOS,439,1892,98,272,299,11,0.089323467,0.196617336,0.243339254,0.310008136,0.283599763,0.355179704,0.526939017,0.371499245,,133.9973424,-4.201182646,71.72808495,-12.33909941,12.49087127
J.T. Realmuto,PHI,399,1604,57,204,213,48,0.07605985,0.235660847,0.192896936,0.315893385,0.262534818,0.331460674,0.455431754,0.337470614,,112.5587828,10.34229241,34.2317467,31.61220247,12.32247873
Brandon Nimmo,NYM,386,1700,47,235,152,11,0.114117647,0.195882352,0.167008898,0.326286764,0.275154004,0.370720188,0.442162902,0.356081643,,130.6418579,-3.608908901,59.725404,1.568088174,12.1197878
Alex Bregman,HOU,395,1725,58,244,243,5,0.124057971,0.12289855,0.17798913,0.273399014,0.265625,0.364057971,0.44361413,0.351609818,,128.1577287,-9.681190408,46.99295599,13.44222999,12.03661101
Fernando Tatis Jr.,SDP,259,1132,67,185,174,51,0.098056537,0.248233215,0.262896826,0.310344827,0.271825396,0.344827586,0.534722222,0.36998941,,137.5977518,13.28966531,67.1192836,14.48411036,11.98693786
Carlos Correa,- - -,418,1810,66,234,221,0,0.107734806,0.203314917,0.184160905,0.306837606,0.267127592,0.348618784,0.451288497,0.345544299,,123.4629538,-15.7660297,33.94540522,20.2589798,11.69168038
Matt Chapman,- - -,435,1777,69,219,199,8,0.116488463,0.296567248,0.194136808,0.293193717,0.227361563,0.323579065,0.421498371,0.324387335,,110.4944464,6.953788836,28.53652824,26.10387003,11.59291563
Bryce Harper,PHI,355,1526,70,239,211,33,0.142201834,0.216906946,0.244340359,0.346756152,0.296643247,0.399606299,0.540983606,0.395558824,,150.397934,-6.917222222,88.56347398,-26.56421199,11.47705451
Cedric Mullins,BAL,418,1757,60,227,192,81,0.083096186,0.191804211,0.187022901,0.303872053,0.267811704,0.334476843,0.454834605,0.339038266,,118.1251694,11.07526815,49.52412744,3.588695914,11.34232453
Julio Rodríguez,SEA,274,1217,58,179,174,61,0.068200493,0.248972884,0.218442256,0.344782034,0.285586392,0.343467543,0.504028648,0.361715086,,138.7843018,10.56348253,65.35153124,5.328650117,11.32466036
Mike Trout,LAA,237,1007,66,162,142,5,0.125124131,0.282025819,0.296639629,0.34496124,0.282734646,0.382323733,0.579374275,0.404296177,,162.5936703,3.14992611,76.30605198,-0.148051225,11.22190319
Bryan Reynolds,PIT,438,1846,73,245,229,24,0.09588299,0.206392199,0.207361963,0.321548821,0.279141104,0.356988082,0.486503067,0.359738141,,125.8109455,3.560348725,62.35980799,-14.01524308,11.20762773
Adolis García,TEX,440,1859,92,262,291,49,0.068854222,0.288327057,0.221436985,0.299263351,0.245583038,0.302313071,0.467020023,0.327940401,,108.5454563,8.102097401,26.6513295,18.71061039,10.90507497
Willy Adames,- - -,416,1761,80,227,248,18,0.096536059,0.268597387,0.211330363,0.283770651,0.236791852,0.312109152,0.448122215,0.326630246,,106.0009753,2.94722728,16.18244424,26.92171001,10.49010841
Tommy Edman,STL,437,1800,36,248,159,86,0.064444444,0.157222222,0.136281042,0.290082028,0.257419745,0.311594202,0.393700787,0.306703585,,95.39161306,17.87952621,7.008224518,31.09560305,10.15570546
Pete Alonso,NYM,453,1923,122,262,337,12,0.098803952,0.201248049,0.267462686,0.255499153,0.253134328,0.341133645,0.520597014,0.362152185,,134.3723648,-9.843012559,70.55823393,-36.02808905,10.13149056
Luis Robert Jr.,CHW,305,1272,60,181,174,34,0.047169811,0.23899371,0.219120135,0.339003645,0.28680203,0.330702446,0.505922165,0.354802096,,127.4034814,7.247093844,49.18245911,8.426362753,10.10532759
Andrés Giménez,CLE,357,1342,35,157,142,59,0.057377049,0.202682563,0.151337793,0.309921962,0.261705685,0.331582895,0.413043478,0.324591118,,110.978607,8.40935703,24.20338163,28.22016966,9.986059309
Vladimir Guerrero Jr.,TOR,467,2043,104,284,298,17,0.099853157,0.156142927,0.224557522,0.29390681,0.284292035,0.361722956,0.508849557,0.370684207,,139.1510087,-13.98789752,81.41884782,-51.31701994,9.980540805
Nico Hoerner,CHC,319,1330,19,165,135,66,0.066165413,0.12330827,0.109555189,0.31629701,0.28583196,0.343115124,0.395387149,0.32313022,,105.1041835,10.27198174,18.46351696,34.35168999,9.957941995
Randy Arozarena,TBR,438,1873,62,256,239,74,0.095034703,0.252002135,0.17915905,0.333333333,0.265082266,0.349706353,0.444241316,0.344514799,,126.1339347,-0.953092304,57.05307696,-21.53115755,9.931387506
Max Muncy,LAD,403,1681,92,251,263,5,0.148720999,0.238548483,0.249283668,0.233624454,0.219197707,0.34384295,0.468481375,0.348714619,,122.4772173,5.033607603,52.37538389,-11.48352593,9.884657727
Yandy Díaz,TBR,400,1669,42,222,194,4,0.124026363,0.141402037,0.148019458,0.322773972,0.291174426,0.384661473,0.439193884,0.360705255,,137.4826324,-14.04866052,59.31956754,-21.9250723,9.482002866
Jake Cronenworth,SDP,437,1849,48,236,207,13,0.092482422,0.171984856,0.165632754,0.275752773,0.245657568,0.328976034,0.411290322,0.32111476,,107.7960309,12.08183334,29.79386627,0.310025036,9.465746783
J.P. Crawford,SEA,437,1870,30,231,150,8,0.112834224,0.16631016,0.117139334,0.304179566,0.260789149,0.350858369,0.377928483,0.323655252,,111.2625454,-2.151331752,23.07841217,7.059520006,9.353548355
Adley Rutschman,BAL,256,1109,32,149,115,5,0.134355275,0.161406672,0.168954593,0.292059219,0.262935586,0.364292155,0.431890179,0.347786476,,126.373569,1.345634841,35.26675219,18.8815999,9.332575621
Wander Franco,TBR,265,1143,30,164,130,40,0.080489938,0.121609798,0.172613307,0.298745724,0.281581485,0.340332458,0.454194792,0.340860553,,123.3117495,7.121702345,38.91616495,14.06503797,9.223298766
Jeff McNeil,NYM,416,1629,25,192,149,16,0.065070595,0.112952731,0.112771739,0.3081761,0.283288043,0.345633456,0.396059782,0.326651943,,111.0425972,2.125599876,22.40333871,10.25167871,9.040993567
Brandon Crawford,SFG,347,1320,40,159,180,15,0.093181818,0.212878787,0.161234991,0.293706293,0.250428816,0.327520849,0.411663807,0.31936623,,104.0133211,3.287550786,10.99851129,33.18690968,8.99414253
Byron Buxton,MIN,238,983,64,160,125,24,0.083418107,0.291963377,0.287827076,0.275797373,0.240045506,0.315361139,0.527872582,0.356424031,,131.1868368,13.51078823,49.72194824,3.44530344,8.786546909
Daulton Varsho,- - -,394,1447,55,180,165,37,0.082239115,0.234277816,0.18495779,0.269356597,0.231772831,0.299791811,0.416730621,0.310059113,,96.51627838,10.74080671,4.503694037,31.83827055,8.763990085
