Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Zack Wheeler,PHI,37,23,0,87,87,541.1,10.07512325,1.911945831,0.798029564,0.288921072,0.74546157,0.45898161,0.10412148,96.54297528,3.092364561,,2.861348985,3.106903228,16.78790903
Kevin Gausman,- - -,37,25,0,93,93,538.2,10.9269804,2.138613902,0.90222774,0.32189781,0.75801224,0.41067616,0.10364683,94.77734642,3.17450501,,2.812449406,3.090273008,15.30114412
Corbin Burnes,MIL,32,21,0,91,91,553.2,10.8422639,2.405779695,0.845273947,0.266819572,0.75317965,0.46706144,0.11818182,96.27093942,2.990969351,,2.938746543,3.005684472,15.17826176
Aaron Nola,PHI,32,31,0,94,94,566.2,10.22823548,1.794705915,1.207058845,0.293103448,0.68552981,0.41969597,0.13013699,92.95143094,4.129411839,,3.347284313,3.288580372,14.07636857
Gerrit Cole,NYY,42,20,0,94,94,574,11.10104559,2.179442567,1.207317105,0.282222222,0.78968413,0.41660802,0.1360424,97.47175379,3.182926914,,3.240903429,3.104765951,12.85278583
Sandy Alcantara,MIA,30,36,0,93,93,619,8.127625603,2.151857941,0.85783526,0.272566372,0.73722149,0.52937788,0.11434109,98.04231962,3.140549428,,3.442098266,3.558762433,12.81284857
Logan Webb,SFG,36,24,0,90,89,541.2,8.374154003,1.894153882,0.664615397,0.297658863,0.72953737,0.59432718,0.12048193,92.92433005,3.090461597,,3.018588652,3.04571923,12.66460043
Dylan Cease,CHW,34,23,0,95,95,514.2,11.34909349,3.899611476,0.961787584,0.299516908,0.74410774,0.36158631,0.10054845,96.50381826,3.602331677,,3.467731546,3.811868353,11.98879957
Max Scherzer,- - -,39,15,0,80,80,477.1,10.99231873,1.979748656,1.206703943,0.262250454,0.82867311,0.32638889,0.113879,94.15796681,2.828212366,,3.298529145,3.487176107,11.94952315
Carlos Rodón,- - -,30,19,0,67,67,368.2,11.7667269,2.758589502,0.952079563,0.279151943,0.76702919,0.3390411,0.09512195,95.46660901,3.173598542,,2.958336,3.377692708,11.02174655
